bid_id,car_id,user_id,date_bid,bid_price,bid_status
1,24,33,2022-12-11,335823320,Sent
2,3,11,2022-12-22,474670911,Not Sent
3,32,41,2023-01-26,252707074,Sent
4,15,7,2022-09-30,278761059,Sent
5,49,84,2023-06-27,439270423,Not Sent
6,19,44,2023-05-13,196061020,Not Sent
7,9,12,2023-06-04,111246454,Sent
8,12,52,2022-12-07,354781461,Sent
9,39,72,2023-05-21,285871911,Sent
10,11,41,2022-10-28,91335137,Not Sent
11,22,5,2023-06-03,422226859,Sent
12,20,7,2023-04-15,155112946,Sent
13,50,78,2022-07-08,499641695,Not Sent
14,7,13,2023-05-04,349420800,Sent
15,44,63,2022-11-10,488459612,Sent
16,50,96,2022-12-18,481260266,Sent
17,23,82,2022-10-26,201199942,Sent
18,37,64,2022-10-14,211161706,Not Sent
19,8,69,2023-05-04,286519178,Not Sent
20,25,80,2023-04-16,336686093,Sent
21,21,87,2023-03-20,129945464,Sent
22,32,88,2022-07-15,167844174,Not Sent
23,34,91,2022-11-20,318712632,Not Sent
24,17,77,2023-06-07,488020331,Sent
25,39,74,2023-04-29,339600929,Sent
26,7,81,2022-08-10,113579763,Not Sent
27,38,24,2023-05-15,441909386,Sent
28,34,97,2023-06-08,323498169,Not Sent
29,28,70,2022-07-25,489853790,Not Sent
30,24,10,2022-10-20,149631672,Sent
31,34,42,2022-07-31,160165727,Sent
32,35,71,2023-06-13,435197301,Not Sent
33,30,87,2023-05-28,390599564,Not Sent
34,27,25,2022-12-25,120693263,Sent
35,40,48,2022-07-11,395806145,Sent
36,35,55,2023-03-25,474741944,Sent
37,49,64,2023-06-22,478477874,Sent
38,16,6,2023-06-05,168005453,Sent
39,48,98,2023-01-27,177498354,Not Sent
40,19,94,2023-05-25,296468240,Not Sent
41,29,74,2023-06-05,464773402,Sent
42,7,82,2023-06-21,481477918,Not Sent
43,39,62,2022-11-10,186294369,Sent
44,30,100,2022-10-27,255840720,Not Sent
45,17,37,2023-04-30,97740204,Sent
46,41,27,2022-08-02,438567555,Not Sent
47,17,98,2022-07-12,412319208,Sent
48,1,65,2022-11-26,290012142,Sent
49,12,75,2022-10-19,435033297,Sent
50,12,52,2022-09-27,156538663,Not Sent
