bid_id,car_id,user_id,date_bid,bid_price,bid_status
1,12,11,2022-07-14,144500260,Sent
2,26,62,2023-01-08,91561942,Sent
3,31,92,2023-05-23,362381383,Sent
4,45,64,2022-11-14,278503813,Sent
5,1,4,2023-04-03,396384470,Sent
6,18,38,2023-04-02,306892981,Sent
7,46,86,2023-07-03,378942862,Sent
8,18,89,2022-09-07,295083199,Sent
9,40,6,2022-12-28,367398518,Sent
10,33,19,2022-12-15,117929238,Sent
11,16,58,2022-10-15,379195293,Sent
12,7,67,2022-12-16,100365596,Sent
13,41,81,2022-12-18,361744629,Sent
14,45,60,2023-01-06,103755975,Sent
15,19,94,2023-01-22,286900376,Sent
16,24,4,2023-06-21,454626174,Sent
17,49,72,2022-10-13,376549220,Sent
18,43,65,2023-03-23,306814384,Sent
19,18,95,2022-09-20,211846723,Sent
20,31,50,2022-10-01,178134737,Sent
21,15,98,2022-12-13,351541121,Sent
22,33,15,2023-03-15,92969314,Sent
23,33,14,2022-08-08,283522812,Sent
24,43,34,2023-03-29,269673169,Sent
25,32,46,2022-11-27,364570455,Sent
26,31,97,2023-05-04,443634537,Sent
27,7,47,2022-07-30,426353698,Sent
28,43,75,2022-08-29,98812784,Sent
29,25,13,2022-08-05,209747891,Sent
30,26,48,2023-01-23,165421877,Sent
31,5,38,2023-03-06,385749145,Sent
32,1,5,2022-08-10,398900407,Sent
33,27,38,2022-11-02,360054160,Sent
34,29,77,2023-05-02,160405090,Sent
35,36,57,2023-01-31,396649528,Sent
36,8,35,2023-03-06,283450846,Sent
37,32,96,2023-01-30,116215676,Sent
38,25,7,2022-12-28,326786803,Sent
39,37,67,2022-07-30,278664177,Sent
40,46,72,2023-05-09,204674561,Sent
41,46,26,2022-08-31,284021975,Sent
42,22,42,2023-05-15,459429328,Sent
43,36,14,2023-03-09,133823395,Sent
44,36,98,2023-07-05,139450655,Sent
45,39,36,2022-10-22,490664078,Sent
46,34,37,2022-08-24,479436009,Sent
47,34,4,2023-01-25,485058698,Sent
48,5,76,2022-08-16,181598214,Sent
49,45,78,2022-11-08,229991713,Sent
50,25,74,2023-06-01,148316165,Sent
51,42,18,2023-05-29,488476940,Sent
52,13,1,2023-06-15,105892724,Sent
53,47,37,2023-02-20,162574842,Sent
54,15,61,2022-12-05,301895979,Sent
55,40,61,2022-11-12,100564323,Sent
56,26,5,2023-02-21,137517449,Sent
57,35,98,2023-03-26,373864183,Sent
58,16,20,2023-06-13,203608117,Sent
59,15,27,2022-10-26,301104717,Sent
60,20,21,2023-01-01,114249424,Sent
61,8,31,2023-05-11,217280293,Sent
62,31,39,2022-07-30,161529569,Sent
63,5,11,2023-01-21,480888081,Sent
64,28,71,2022-10-28,228408388,Sent
65,26,6,2022-12-24,305760153,Sent
66,13,17,2022-08-20,297523003,Sent
67,16,39,2023-05-04,397305166,Sent
68,23,67,2022-10-29,386864724,Sent
69,10,7,2022-12-13,427551460,Sent
70,10,67,2022-11-10,301551140,Sent
71,47,25,2022-08-01,422731794,Sent
72,9,67,2023-04-05,356822232,Sent
73,34,37,2022-07-21,316250043,Sent
74,46,3,2023-06-02,138259139,Sent
75,3,65,2022-11-21,472291892,Sent
76,4,73,2023-04-05,142157329,Sent
77,26,35,2023-01-18,453492295,Sent
78,9,84,2023-01-18,112017955,Sent
79,9,70,2022-08-10,111962569,Sent
80,36,32,2023-05-28,237736279,Sent
81,36,100,2023-05-07,381742659,Sent
82,1,30,2023-05-30,334052504,Sent
83,43,67,2022-08-11,380222104,Sent
84,39,12,2023-07-02,185577940,Sent
85,20,49,2022-11-03,330257426,Sent
86,8,71,2023-06-15,153328696,Sent
87,39,42,2022-10-29,133948528,Sent
88,43,25,2022-08-25,139464929,Sent
89,4,63,2022-09-01,380482543,Sent
90,18,32,2022-10-31,480478545,Sent
91,50,28,2023-04-09,282340610,Sent
92,23,51,2022-11-29,131905038,Sent
93,12,63,2022-07-17,367718405,Sent
94,46,3,2023-06-06,171161346,Sent
95,36,67,2023-03-03,294364269,Sent
96,2,18,2023-04-24,211047105,Sent
97,19,74,2023-02-07,222776084,Sent
98,25,41,2023-04-08,158939791,Sent
99,18,89,2023-02-17,277721954,Sent
100,40,35,2022-08-10,223632476,Sent
101,15,28,2023-03-30,317084100,Sent
102,35,88,2023-02-22,403337488,Sent
103,18,59,2022-09-24,489991149,Sent
104,40,43,2022-09-18,375104734,Sent
105,26,32,2023-04-23,345041502,Sent
106,34,6,2022-12-18,136904533,Sent
107,18,71,2023-06-10,397877531,Sent
108,48,92,2023-06-25,499966286,Sent
109,22,76,2022-11-22,290536386,Sent
110,37,51,2022-10-21,486534067,Sent
111,15,10,2023-01-23,328692245,Sent
112,38,93,2023-06-26,178629166,Sent
113,39,28,2023-02-13,412137981,Sent
114,29,44,2023-01-16,442689637,Sent
115,36,84,2023-04-19,280964550,Sent
116,40,64,2022-12-14,131746290,Sent
117,35,12,2023-05-09,338472124,Sent
118,20,96,2023-02-10,331019639,Sent
119,28,3,2023-03-13,259081326,Sent
120,11,51,2023-05-08,397380826,Sent
121,42,71,2023-05-12,254910168,Sent
122,48,33,2022-12-14,308646834,Sent
123,30,80,2023-05-12,404018409,Sent
124,29,56,2023-04-21,317523834,Sent
125,26,19,2023-06-18,349185475,Sent
126,13,64,2023-01-10,224573801,Sent
127,36,61,2023-02-09,99929081,Sent
128,41,99,2023-02-27,224425418,Sent
129,43,45,2022-08-19,208150561,Sent
130,6,18,2023-04-03,442100734,Sent
131,47,75,2023-05-29,443859235,Sent
132,20,16,2022-09-19,381997173,Sent
133,19,71,2023-01-20,364477788,Sent
134,33,36,2022-11-16,179925329,Sent
135,7,34,2023-04-06,114201362,Sent
136,12,84,2023-04-04,470491509,Sent
137,5,57,2022-11-25,145254760,Sent
138,37,77,2022-09-06,275550484,Sent
139,29,76,2022-09-12,141702409,Sent
140,20,57,2023-01-25,318863445,Sent
141,6,89,2023-05-11,223054641,Sent
142,32,99,2022-11-08,204114114,Sent
143,33,70,2023-06-28,367964827,Sent
144,44,62,2022-09-07,168591849,Sent
145,37,62,2023-05-10,373216823,Sent
146,38,18,2022-08-08,399205885,Sent
147,38,41,2022-10-29,90267517,Sent
